Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
developmental and epileptic encephalopathy 109,"['cheddar cheese', 'condensed cream', 'milk']","['eggplant', 'milk', 'pancake mix']","['high iron', 'high magnesium', 'high potassium']","['high total fats', 'low calcium', 'low protein']"
uterine ligament clear cell adenocarcinoma,"['parsley', 'salt']","['corn flakes', 'nonfat mayonnaise']","['high magnesium', 'high potassium', 'high vitamin c']","['high sodium', 'low fiber', 'low iron']"
pancreatic endocrine carcinoma,"['macaroni', 'tuna']","['chablis wine', 'chicken', 'golden mushroom soup']","['high calcium', 'low carbohydrate']","['high cholesterol', 'high sodium']"
brachydactyly type A6,"['chili beans', 'tabasco sauce', 'taco sauce']","['butter', 'mushrooms']","['high vitamin c', 'low total fats']","['low fiber', 'low iron']"
ovarian sex cord-stromal benign neoplasm,"['mushroom soup mix', 'worcestershire sauce']","['onion', 'picante sauce', 'salt']","['high potassium', 'low carbohydrate']","['high calories', 'high cholesterol', 'high total fats']"
commensal bacterial infectious disease,"['fresh parsley', 'vegetable oil']","['cheddar cheese', 'cream of mushroom soup', 'shell macaroni']","['high magnesium', 'high potassium', 'low carbohydrate']","['high calories', 'high cholesterol', 'low vitamin c']"
tuberculous epididymitis,"['beef round steak', 'condensed beef broth', 'rice']","['salt', 'vinegar']","['high magnesium', 'high potassium']","['low iron', 'low vitamin c']"
visceral heterotaxy 9,"['salt', 'zucchini']","['cream-style corn', 'mozzarella cheese']","['high protein', 'low carbohydrate']","['low calcium', 'low potassium']"
ectodermal dysplasia 6,"['cheddar cheese', 'cream of mushroom']","['egg', 'milk', 'pancake mix']","['high fiber', 'high magnesium', 'low total fats']","['high sodium', 'low iron', 'low protein']"
hemorrhoid,"['basil', 'chicken']","['worcestershire sauce', 'zucchini']","['high protein', 'low sodium']","['high cholesterol', 'low calcium']"
beta-thalassemia major,"['chicken', 'pepper', 'salt']","['bananas', 'pineapple']","['low calories', 'low total fats']","['high carbohydrate', 'low calcium']"
marasmus,"['basil', 'chicken broth', 'water']","['bacon', 'bay leaf']","['high calcium', 'high vitamin c']","['high carbohydrate', 'high sodium', 'low magnesium']"
allergic cutaneous vasculitis,"['baking powder', 'butter', 'eggs']","['eggs', 'miracle', 'paprika']","['high fiber', 'low total fats']","['low calcium', 'low magnesium']"
congenital myasthenic syndrome 12,"['chicken breasts', 'mushroom soup', 'sour cream']","['ajinomoto', 'japanese vinegar', 'sugar']","['high vitamin c', 'low calories']","['low fiber', 'low iron']"
second-degree atrioventricular block,"['italian dressing', 'salad supreme']","['cold water', 'oil']","['high fiber', 'high magnesium', 'high protein']","['high sodium', 'low potassium']"
primary ciliary dyskinesia 6,"['cinnamon', 'ginger', 'salt']","['milk', 'stove top stuffing']","['high iron', 'high magnesium']","['low potassium', 'low protein']"
Cornelia de Lange syndrome 3,"['cherry pie filling', 'mandarin oranges', 'pineapple']","['bay leaves', 'garlic']","['high calcium', 'high fiber', 'high potassium']","['high calories', 'high sodium']"
multiple spinal canal and spinal cord meningioma,"['freshly grated parmesan', 'ricotta cheese']","['ground meat', 'soy sauce']","['high potassium', 'high vitamin c', 'low sodium']","['high total fats', 'low fiber']"
congenital disorder of glycosylation type II,"['potatoes', 'tomato sauce']","['lamb', 'madeira']","['high vitamin c', 'low sodium', 'low total fats']","['low iron', 'low protein']"
sleeping sickness,"['olive oil', 'parmesan cheese']","['ground beef', 'taco', 'water']","['high calcium', 'low calories']","['high carbohydrate', 'low vitamin c']"
paraganglioma,"['butter', 'cinnamon', 'fresh baby carrots']","['bulk sausage', 'cream cheese']","['high fiber', 'low carbohydrate', 'low sodium']","['low calcium', 'low magnesium', 'low protein']"
retinal detachment,"['baking powder', 'cranberries', 'eggs']","['butter', 'margarine', 'mushrooms']","['high calcium', 'low carbohydrate', 'low cholesterol']","['high calories', 'low fiber', 'low iron']"
eosinophilic meningitis,"['garlic salt', 'parmesan cheese']","['bacon', 'heavy cream', 'swiss']","['high calcium', 'low calories']","['low iron', 'low magnesium']"
cecum lymphoma,"['pineapple juice', ""pusser's rum""]","['salt', 'tomatoes', 'water']","['high magnesium', 'low carbohydrate']","['low iron', 'low protein', 'low vitamin c']"
fungal gastritis,"['light red kidney beans', 'onion', 'tomato sauce']","['margarine', 'onion', 'salt']","['high calcium', 'high magnesium', 'high potassium']","['high carbohydrate', 'low fiber']"
autosomal dominant intellectual developmental disorder 2,"['fresh beets', 'onion']","['mushroom soup', 'noodles']","['high fiber', 'high magnesium']","['high calories', 'low protein']"
developmental and epileptic encephalopathy 45,"['long loaf', 'olives', 'oregano']","['green chili peppers', 'green onion']","['high magnesium', 'high vitamin c', 'low sodium']","['high calories', 'low potassium']"
cystoisosporiasis,"['onion', 'pork']","['brown sugar', 'butter', 'salt']","['high magnesium', 'high protein', 'low carbohydrate']","['high cholesterol', 'high sodium', 'low calcium']"
lung meningioma,"['buttery style crackers', 'cheddar cheese', 'paprika']","['grapes', 'pecans', 'sugar']","['high calcium', 'high magnesium', 'low calories']","['high total fats', 'low iron', 'low potassium']"
acute gonococcal cystitis,"['potatoes', 'salt', 'thyme']","['almond', 'assorted fruit']","['high fiber', 'high protein', 'low carbohydrate']","['high calories', 'high cholesterol', 'low potassium']"
gamma heavy chain disease,"['cream of celery soup', 'margarine', 'pickle relish']","['bread', 'zucchini']","['high calcium', 'low carbohydrate', 'low cholesterol']","['high total fats', 'low potassium', 'low vitamin c']"
dipetalonemiasis,"['butter', 'cream cheese', 'flour']","['chicken breasts', 'lemon wedges']","['high calcium', 'low total fats']","['high cholesterol', 'low iron', 'low potassium']"
renal glycosuria,"['tomatoes', 'whole wheat flour tortillas']","['pecans', 'vanilla']","['high magnesium', 'high potassium']","['high cholesterol', 'high sodium', 'low protein']"
adenoiditis,"['pkgs', 'velveeta cheese']","['lemon', 'pepper', 'skinless']","['high calcium', 'low sodium']","['high calories', 'high carbohydrate', 'low potassium']"
optic atrophy 2,"['lemon jell-o', 'tomatoes']","['hamburger', 'oregano', 'picante sauce']","['high fiber', 'low sodium', 'low total fats']","['low calcium', 'low vitamin c']"
benign giant cell tumor,"['cloves', 'orange juice', 'water']","['cider vinegar', 'parsley', 'pepper']","['high iron', 'low cholesterol', 'low sodium']","['high calories', 'low vitamin c']"
spermatogenic failure 67,"['bread crumbs', 'butter']","['cabbage', 'carrots']","['high protein', 'low calories']","['high total fats', 'low potassium']"
epidermolysis bullosa acquisita,"['green onion', 'parsley', 'tiny new potatoes']","['onion', 'tsp.pepper']","['high vitamin c', 'low sodium']","['high carbohydrate', 'high total fats']"
childhood central nervous system germinoma,"['butter', 'cornstarch', 'lemon']","['cheddar cheese', 'chives']","['high calcium', 'high vitamin c']","['high calories', 'low magnesium', 'low protein']"
Coffin-Siris syndrome 9,"['onions', 'pepper sauce', 'salt']","['mozzarella cheese', 'ricotta cheese']","['low calories', 'low cholesterol']","['high carbohydrate', 'low fiber', 'low magnesium']"
adult pineoblastoma,"['eggs', 'margarine', 'salt']","['cornstarch', 'liquid']","['low calories', 'low carbohydrate', 'low total fats']","['low calcium', 'low fiber']"
primary hyperoxaluria type 2,"['onion', 'salt']","['onion', 'sugar']","['high iron', 'high potassium', 'low cholesterol']","['high calories', 'low magnesium']"
autoimmune thyroiditis,"['chicken breasts', 'mushrooms']","['macaroni', 'water']","['high iron', 'low cholesterol']","['high calories', 'low calcium', 'low fiber']"
Lennox-Gastaut syndrome,"['bluing', 'cold water']","['cottage cheese', 'ground beef']","['low calories', 'low sodium']","['high total fats', 'low calcium', 'low protein']"
antithrombin III deficiency,"['cream of mushroom soup', 'mayonnaise', 'olives']","['potatoes', 'sour cream']","['high fiber', 'low carbohydrate', 'low cholesterol']","['high total fats', 'low calcium', 'low potassium']"
malignant acrospiroma,"['potatoes', 'tomatoes']","['bacon', 'salad potatoes', 'water']","['low cholesterol', 'low total fats']","['low calcium', 'low protein']"
geleophysic dysplasia 2,"['cayenne pepper', 'eggs', 'salt']","['chicken broth', 'leeks', 'unsalted butter']","['high calcium', 'high magnesium']","['high carbohydrate', 'high cholesterol', 'low protein']"
tubular aggregate myopathy 1,"['angel', 'milk', 'oranges']","['garlic', 'whipping cream']","['high calcium', 'high potassium', 'low calories']","['low fiber', 'low iron', 'low protein']"
3-hydroxy-3-methylglutaryl-CoA lyase deficiency,"['ground comino', 'potatoes']","['curry powder', 'dijon mustard', 'salt']","['high fiber', 'high protein', 'high vitamin c']","['high cholesterol', 'high sodium', 'low magnesium']"
spermatogenic failure 89,"['onion', 'pepper']","['flour', 'sweet link sausage']","['high calcium', 'high protein', 'low sodium']","['high cholesterol', 'low potassium', 'low vitamin c']"
immunodeficiency 30,"['dill', 'green tomatoes']","['frozen hash browns', 'tennessee']","['high calcium', 'low calories', 'low carbohydrate']","['high total fats', 'low fiber', 'low magnesium']"
esophageal atresia,"['garlic', 'onion', 'peppercorns']","['mushrooms', 'onion', 'salt']","['high calcium', 'low calories', 'low sodium']","['low iron', 'low protein']"
cyclosporiasis,"['clove garlic', 'green bell pepper']","['dressing', 'onion soup']","['high iron', 'low cholesterol', 'low total fats']","['high calories', 'high sodium', 'low potassium']"
immunodeficiency 79,"['scallops', 'stalks celery', 'tomato sauce']","['crescent roll', 'powdered sugar']","['high calcium', 'high protein']","['high cholesterol', 'high total fats', 'low potassium']"
hypopharynx cancer,"['celery', 'schilling mexican']","['marshmallows', 'pineapple']","['high fiber', 'high magnesium', 'high potassium']","['high cholesterol', 'high total fats']"
spitzoid melanoma,"['bibb lettuce', 'papaya', 'salt']","['crescent rolls', 'parmesan cheese', 'sour cream']","['high calcium', 'high magnesium', 'low sodium']","['high calories', 'high carbohydrate', 'low fiber']"
"46,XX sex reversal","['cream of mushroom soup', 'paprika', 'sour cream']","['lemon juice', 'olives', 'sugar']","['high vitamin c', 'low cholesterol']","['high calories', 'low iron', 'low potassium']"
hyper IgM syndrome,"['bread crumbs', 'butter', 'red salad potatoes']","['rice', 'water']","['high fiber', 'low cholesterol']","['high total fats', 'low magnesium', 'low vitamin c']"
schwannomatosis 2,"['green chilies', 'whole kernel corn']","['curry powder', 'rice', 'water']","['high potassium', 'low carbohydrate']","['low iron', 'low magnesium', 'low protein']"
childhood electroclinical syndrome,"['butter', 'long grain rice', 'salt']","['green peppers', 'onion', 'water']","['high calcium', 'high vitamin c', 'low cholesterol']","['high calories', 'low magnesium']"
mast cell neoplasm,"['garlic', 'sweet basil', 'white wine']","['paprika', 'red pepper']","['low calories', 'low carbohydrate']","['low iron', 'low vitamin c']"
generalized anxiety disorder,"['green pepper', 'tomatoes']","['bay leaf', 'rice']","['high fiber', 'high iron', 'low calories']","['high carbohydrate', 'low magnesium']"
acute pyelonephritis,"['cream of mushroom soup', 'ground beef', 'tomato paste']","['au', 'rib roast', 'water']","['low carbohydrate', 'low sodium']","['high cholesterol', 'low iron']"
D-2-hydroxyglutaric aciduria,"['bacon', 'green peppers']","['cream of chicken soup', 'cream of mushroom soup', 'onion']","['high iron', 'low sodium']","['high carbohydrate', 'low potassium', 'low protein']"
familial temporal lobe epilepsy 6,"['celery', 'water']","['ground beef', 'macaroni']","['low carbohydrate', 'low cholesterol', 'low sodium']","['low calcium', 'low magnesium', 'low vitamin c']"
dedifferentiated chondrosarcoma,"['chicken flavor', 'mushroom soup', 'parsley']","['baking potatoes', 'fat']","['high protein', 'low calories']","['high cholesterol', 'low fiber']"
nevoid basal cell carcinoma syndrome 2,"['apricot nectar', 'nuts', 'orange jello']","['kielbasa', 'salt', 'shrimp']","['low carbohydrate', 'low sodium']","['high cholesterol', 'low iron']"
bladder small cell carcinoma,"['butter', 'flour', 'parsley']","['garlic', 'italian green beans']","['high calcium', 'high protein']","['low iron', 'low magnesium', 'low vitamin c']"
hereditary sensory neuropathy X-linked,"['clove garlic', 'onion', 'tomatoes']","['baking powder', 'egg', 'flour']","['low cholesterol', 'low sodium']","['high carbohydrate', 'low fiber']"
Rafiq syndrome,"['ground turmeric', 'olive oil', 'red pepper']","['chicken breasts', 'green pepper', 'paprika']","['high potassium', 'low cholesterol']","['high carbohydrate', 'low magnesium', 'low protein']"
mixed germ cell-sex cord neoplasm,"['mustard', 'tomato sauce', 'worcestershire sauce']","['chicken', 'corn tortillas', 'cream of chicken soup']","['high calcium', 'high magnesium', 'low cholesterol']","['high calories', 'low iron']"
Wiedemann-Rautenstrauch syndrome,"['coarse ground pepper', 'ground pork']","['ground cumin', 'white beans', 'white kernel']","['high calcium', 'high magnesium', 'low total fats']","['high carbohydrate', 'high cholesterol', 'high sodium']"
syndromic X-linked intellectual disability Cabezas type,"['green beans', 'lemon pepper']","['beef broth', 'salt']","['high calcium', 'low calories']","['high sodium', 'low fiber', 'low vitamin c']"
"N,N'-diphenylthiourea allergic contact dermatitis","['mozzarella cheese', 'mushrooms', 'zucchini']","['mushrooms', 'onion soup', 'unwashed rice']","['high iron', 'high protein', 'low calories']","['high cholesterol', 'high sodium', 'low magnesium']"
familial hyperlipidemia,"['grated cheese', 'head cauliflower', 'rice']","['onion', 'salt', 'tomatoes']","['high vitamin c', 'low total fats']","['high carbohydrate', 'low calcium', 'low magnesium']"
skin squamous cell carcinoma,"['cornstarch', 'soy sauce', 'sugar']","['lemon jell-o', 'tomatoes']","['low carbohydrate', 'low cholesterol', 'low total fats']","['high calories', 'low calcium']"
diffuse astrocytoma,"['chili powder', 'green peppers', 'onion powder']","['fresh basil', 'garlic', 'olive oil']","['high magnesium', 'high protein', 'low total fats']","['high carbohydrate', 'low calcium', 'low iron']"
